Date,Open,High,Low,Close,Volume,FinalPrice,AdditionalFee,JsonSerialization
19911126,12.2,12.2,12.2,12.2,9578,15.115799999999998,2.9157999999999995,False
19911203,13.4,13.4,13.4,13.4,0,16.6026,3.2026,False
19911210,14.7,14.7,14.7,14.7,59201,18.213299999999997,3.5132999999999996,False
19911217,13.3,13.3,13.3,13.3,32690,16.4787,3.1787,False
19911231,14.6,14.6,14.6,14.6,13129,18.0894,3.4894,False
19920107,15,15,15,15,17470,18.585,3.585,False
19920109,15,15,15,15,7767,18.585,3.585,False
19920114,14.1,14.1,14.1,14.1,18108,17.4699,3.3699,False
19920116,14,14,14,14,7666,17.346,3.346,False
19920121,14.6,14.6,14.6,14.6,5041,18.0894,3.4894,False
19920123,14.8,14.8,14.8,14.8,5301,18.337200000000003,3.5372000000000003,False
19920128,14.6,14.6,14.6,14.6,5676,18.0894,3.4894,False
19920130,14.5,14.5,14.5,14.5,4547,17.9655,3.4655,False
19920204,14.4,14.4,14.4,14.4,6926,17.8416,3.4416,False
19920206,14.6,14.6,14.6,14.6,5585,18.0894,3.4894,False
19920211,14.3,14.3,14.3,14.3,6333,11.139700000000001,3.1603000000000003,False
19920213,14.8,14.8,14.8,14.8,8265,18.337200000000003,3.5372000000000003,False
19920218,15,15,15,15,13630,18.585,3.585,False
19920220,15,15,15,15,7893,18.585,3.585,False
19920225,15.1,15.1,15.1,15.1,17315,18.7089,3.6088999999999998,False
19920227,15.7,15.7,15.7,15.7,19566,19.4523,3.7523,False
19920303,17.2,17.2,17.2,17.2,10860,21.310799999999997,4.110799999999999,False
19920305,18,18,18,18,14245,22.302,4.302,False
19920310,18.6,18.6,18.6,18.6,14620,23.0454,4.4454,False
19920312,18.9,18.9,18.9,18.9,7433,23.417099999999998,4.5171,False
19920317,17.2,17.2,17.2,17.2,10412,21.310799999999997,4.110799999999999,False
19920319,18,18,18,18,9647,22.302,4.302,False
19920324,18,18,18,18,8050,22.302,4.302,False
19920326,18.1,18.1,18.1,18.1,8516,22.425900000000002,4.325900000000001,False
19920331,17.8,17.8,17.8,17.8,7724,22.0542,4.254200000000001,False
19920402,17,17,17,17,7674,13.242999999999999,3.7569999999999997,False
19920407,17,17,17,17,7612,13.242999999999999,3.7569999999999997,False
19920409,16.5,16.5,16.5,16.5,6327,12.8535,3.6465,False
19920414,16.5,16.5,16.5,16.5,7758,12.8535,3.6465,False
19920416,16.8,16.8,16.8,16.8,6914,13.087200000000001,3.7128000000000005,False
19920423,16.3,16.3,16.3,16.3,11273,12.697700000000001,3.6023,False
19920428,14.7,14.7,14.7,14.7,5990,11.4513,3.2487,False
19920430,14,14,14,14,9400,10.906,3.0940000000000003,False
19920505,14.5,14.5,14.5,14.5,6693,11.2955,3.2045,False
19920507,15,15,15,15,4233,11.685,3.315,False
19920512,15,15,15,15,4043,11.685,3.315,False
