<DTYYYYMMDD>,<SIGNAL>,<OPEN>,<FACTOR>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<FEE>,<FINALPRICE>
19970901,-1,268,,282,268,282,876,67.4,349.4
19970902,-1,270,,270,270,270,2035,64.53,334.53
19970903,-1,272,,272,272,272,1449,65.01,337.01
19970904,-1,273,,273,273,273,994,65.25,338.25
19970905,-1,274,,290,274,290,928,69.31,359.31
19970908,-1,275,,275,275,275,1161,65.73,340.73
19970909,-1,275,,275,275,275,13598,65.73,340.73
19970910,1,269,,269,269,269,6962,59.45,209.55
19970911,1,270,,270,270,270,9165,59.67,210.33
19970912,1,270,,270,270,270,11221,59.67,210.33
19970915,1,270,,270,270,270,14359,59.67,210.33
19970916,1,270,,270,270,270,21710,59.67,210.33
19970917,1,270,,270,270,270,24557,59.67,210.33
19970918,-1,272,,272,272,272,17118,65.01,337.01
19970919,-1,274,,274,274,274,35998,65.49,339.49
19970922,-1,267,,275,267,275,7208,65.73,340.73
19970923,-1,280,,280,280,280,2021,66.92,346.92
19970924,-1,275,,275,275,275,2647,65.73,340.73
19970925,1,270,,270,270,270,8357,59.67,210.33
19970926,1,270,,270,270,270,3382,59.67,210.33
19970929,-1,273,,273,273,273,1638,65.25,338.25
19970930,-1,275,,275,275,275,4104,65.73,340.73
19971001,-1,280,,280,280,280,4965,66.92,346.92
19971002,-1,282,,282,282,282,3098,67.4,349.4
19971003,-1,282,,282,282,282,1342,67.4,349.4
19971006,-1,282,,282,282,282,456,67.4,349.4
19971007,-1,282,,282,282,282,1401,67.4,349.4
19971008,1,275,,275,275,275,404,60.78,214.23
19971009,1,275,,276,275,276,3337,61,215
19971010,1,277,,277,277,277,1800,61.22,215.78
19971013,1,275,,275,275,275,710,60.78,214.23
19971014,1,275,,275,275,275,3097,60.78,214.23
19971015,-1,277,,277,277,277,1946,66.2,343.2
19971016,-1,277,,277,277,277,3787,66.2,343.2
19971017,1,276,,276,276,276,3931,61,215
19971020,1,275,,275,275,275,2224,60.78,214.23
19971021,1,275,,275,275,275,3007,60.78,214.23
19971022,-1,277,,277,277,277,641,66.2,343.2
19971023,1,280,,280,270,270,1457,59.67,210.33
19971024,1,270,,272,270,272,2687,60.11,211.89
19971027,1,270,,270,270,270,8823,59.67,210.33
19971028,1,243,,243,240,240,10835,53.04,186.96
19971029,1,260,,260,260,260,3829,57.46,202.54
19971030,1,260,,261,260,261,14380,57.68,203.32
19971031,1,260,,260,260,260,6000,57.46,202.54
19971103,1,260,,260,260,260,7457,57.46,202.54
19971104,1,260,,260,260,260,10240,57.46,202.54
19971105,1,260,,260,260,260,10286,57.46,202.54
19971106,1,260,,260,260,260,6220,57.46,202.54
19971107,1,260,,260,260,260,49288,57.46,202.54
19971112,1,250,,250,226,226,7382,49.95,176.05
19971113,1,240,,240,222.5,230,1230,50.83,179.17
19971114,1,245,,245,245,245,1172,54.15,190.86
19971117,1,245,,245,245,245,5721,54.15,190.86
19971118,-1,255,,255,250,250,414,59.75,309.75
19971119,1,229.5,,255,229.5,240,2928,53.04,186.96
19971120,1,235,,238,235,237,2475,52.38,184.62
19971121,1,240,,245,240,245,884,54.15,190.86
19971124,1,230,,238,230,238,5531,52.6,185.4
19971125,1,235,,235,235,235,2620,51.94,183.07
19971126,1,237,,237,237,237,1042,52.38,184.62
19971127,1,237,,237,237,237,9155,52.38,184.62
19971128,-1,244,,244,244,244,4401,58.32,302.32
19971201,-1,237,,250,237,250,4056,59.75,309.75
19971202,-1,240,,260,240,255,5296,60.95,315.95
19971203,-1,241,,247,241,247,1872,59.03,306.03
19971204,1,245,,245,245,245,3631,54.15,190.86
19971205,-1,250,,253.5,250,250,2259,59.75,309.75
19971208,-1,245,,264,245,255,929,60.95,315.95
19971209,-1,250,,250,250,250,1653,59.75,309.75
19971210,-1,250,,250,250,250,3148,59.75,309.75
19971211,-1,249,,250,243,250,5007,59.75,309.75
19971212,-1,250,,255,250,255,2496,60.95,315.95
19971215,-1,255,,255,255,255,403,60.95,315.95
19971216,-1,260,,265,260,265,346,63.34,328.34
19971217,-1,269,,269,269,269,1667,64.29,333.29
19971218,-1,270,,272,270,272,1081,65.01,337.01
19971219,-1,270,,270,270,270,2033,64.53,334.53
19971222,-1,270,,270,270,270,1038,64.53,334.53
19971223,-1,275,,275,275,275,12037,65.73,340.73
19971229,-1,288.5,,288.5,288.5,288.5,1698,68.95,357.45
19971230,-1,290,,295,290,295,5183,70.51,365.51
19971231,-1,296,,296,296,296,4306,70.74,366.74
19980105,-1,271,,295,271,295,1183,70.51,365.51
19980106,-1,289,,289,289,289,3701,69.07,358.07
19980107,-1,285,,288,285,288,560,68.83,356.83
19980108,-1,289,,289,289,289,1685,69.07,358.07
19980109,1,290,,290,275,276,2649,61,215
19980112,1,285,,285,261,261,964,57.68,203.32
19980113,1,290,,290,275,275,2424,60.78,214.23
19980114,1,280,,280,265,274,3189,60.55,213.45
19980115,1,275,,290,275,275,3875,60.78,214.23
19980119,-1,302.5,,340,302.5,339.5,270,81.14,420.64
19980120,-1,332.5,,340,332.5,340,340,81.26,421.26
19980121,-1,337,,337.5,336.5,336.5,4279,80.42,416.92
19980122,-1,346,,349.5,345,345,10194,82.46,427.46
19980123,-1,346,,346,346,346,4282,82.69,428.69
19980126,-1,346,,346,346,346,4008,82.69,428.69
19980127,-1,346,,350,346,350,4045,83.65,433.65
19980128,-1,346,,346,346,346,4119,82.69,428.69
19980129,-1,346,,346,346,346,7102,82.69,428.69
19980203,1,338,,342,334,334,2959,73.81,260.19
19980204,1,330,,330,330,330,2288,72.93,257.07
19980205,-1,328,,338,328,338,535,80.78,418.78
19980206,1,330,,332,330,332,6780,73.37,258.63
19980209,1,330.5,,332,330.5,330.5,2795,73.04,257.46
19980210,1,330,,331,330,331,2300,73.15,257.85
19980211,1,332,,332,329.5,329.5,475,72.82,256.68
19980212,1,330,,330,330,330,4184,72.93,257.07
19980213,-1,334,,338,334,338,2689,80.78,418.78
19980216,-1,335,,335,335,335,924,80.07,415.07
19980217,1,330,,330,326.5,326.5,575,72.16,254.34
19980218,1,330,,330,328,328,925,72.49,255.51
19980219,-1,350,,350,335.5,335.5,4599,80.18,415.68
19980220,-1,334,,336,334,336,362,80.3,416.3
19980223,1,330.5,,332,330.5,332,382,73.37,258.63
19980224,-1,333,,333,333,333,315,79.59,412.59
19980225,-1,341,,345,335,341,2340,81.5,422.5
19980226,-1,338,,338,338,338,306,80.78,418.78
19980227,-1,342,,342,342,342,2752,81.74,423.74
19980302,1,338.5,,338.5,331,331,609,73.15,257.85
19980303,1,332,,334,332,332,1626,73.37,258.63
19980304,-1,322.5,,340,322.5,335,2186,80.07,415.07
19980305,1,339,,339,331,333,944,73.59,259.41
19980306,-1,332,,341,332,340,435,81.26,421.26
19980310,-1,365,,380,365,370,1340,88.43,458.43
19980311,-1,372,,380,361,376,2246,89.86,465.86
19980312,-1,340,,370,340,370,513,88.43,458.43
19980313,-1,359,,359,359,359,237,85.8,444.8
19980316,-1,368,,368,368,368,597,87.95,455.95
19980317,-1,368,,368,355,368,4288,87.95,455.95
19980318,-1,372,,385,372,385,2575,92.02,477.02
19980319,-1,352,,370,352,370,559,88.43,458.43
19980320,1,345,,350,344,345,4863,76.25,268.76
19980323,1,340,,341,340,341,3436,75.36,265.64
19980324,1,340,,340,340,340,1607,75.14,264.86
19980325,1,336,,336,336,336,626,74.26,261.74
19980326,1,345,,345,345,345,3085,76.25,268.76
19980327,1,340,,341,340,341,284,75.36,265.64
19980330,1,345,,345,340,344,282,76.02,267.98
19980331,1,335,,335,335,335,1454,74.04,260.97
19980401,1,368.5,,368.5,345,345,3270,76.25,268.76
19980402,1,345,,345,339,339,640,74.92,264.08
19980406,-1,345,,345,345,345,8236,82.46,427.46
19980407,1,345,,345,341,341,1068,75.36,265.64
19980408,1,332,,336,332,336,848,74.26,261.74
19980409,1,331,,333,331,333,477,73.59,259.41
19980414,-1,345,,345,345,345,200,82.46,427.46
19980415,1,314.5,,330,314.5,330,3121,72.93,257.07
19980416,1,330,,330,327,327,968,72.27,254.73
19980417,-1,345,,352,343,352,7548,84.13,436.13
19980420,1,340,,348,338,338,2237,74.7,263.3
19980422,-1,345,,345,342,342,11473,81.74,423.74
19980423,1,340,,340,337,337,497,74.48,262.52
19980424,1,325.5,,336,325.5,333,5412,73.59,259.41
19980427,1,331,,334.5,331,332,1149,73.37,258.63
19980428,1,332,,335,332,332.5,623,73.48,259.02
19980429,1,334,,336,333,334,356,73.81,260.19
19980430,1,338,,338,335,335,1640,74.04,260.97
19980504,-1,343,,343,340.5,340.5,3463,81.38,421.88
19980505,-1,341,,341,337,337.5,1765,80.66,418.16
19980506,1,335.5,,337.5,334,334,1926,73.81,260.19
19980507,-1,334,,339,334,339,3138,81.02,420.02
19980508,1,335,,335.5,335,335,156,74.04,260.97
19980511,1,335.5,,335.5,335.5,335.5,1227,74.15,261.35
19980512,1,336,,336.5,336,336,600,74.26,261.74
19980513,-1,338,,350,338,350,844,83.65,433.65
19980514,1,340,,343,336.5,336.5,427,74.37,262.13
19980515,1,338,,338,338,338,292,74.7,263.3
19980518,1,336,,336,333,335,1773,74.04,260.97
19980519,1,332,,336,332,334,322,73.81,260.19
19980520,1,336,,336,336,336,1017,74.26,261.74
19980521,-1,340,,350,340,350,869,83.65,433.65
19980522,-1,340,,342,340,342,236,81.74,423.74
19980525,-1,345,,350,345,350,539,83.65,433.65
19980526,-1,343,,343,343,343,585,81.98,424.98
19980527,1,340,,340,340,340,2511,75.14,264.86
19980528,-1,340,,345,340,345,4808,82.46,427.46
19980529,1,344,,344,342,342,1818,75.58,266.42
19980601,-1,345,,345,345,345,488,82.46,427.46
19980602,1,337,,337,337,337,9490,74.48,262.52
19980603,1,340,,340,340,340,975,75.14,264.86
19980604,1,337,,337,337,337,6178,74.48,262.52
19980605,1,335.5,,335.5,331,331,2242,73.15,257.85
19980609,1,334.5,,334.5,334.5,334.5,1461,73.92,260.58
19980610,-1,340,,355,340,355,6328,84.85,439.85
19980615,-1,374,,383,374,379,2678,90.58,469.58
19980616,-1,393,,393,393,393,3001,93.93,486.93
19980617,-1,396,,396,393,393,3204,93.93,486.93
19980618,-1,397,,397,397,397,3418,94.88,491.88
19980619,1,376,,376,353,353,7513,78.01,274.99
19980622,-1,380,,385,380,385,3726,92.02,477.02
19980623,-1,383,,383,383,383,5761,91.54,474.54
19980624,-1,390,,390,390,390,2540,93.21,483.21
19980625,-1,383,,383,383,383,4331,91.54,474.54
19980626,-1,421,,421,415,415,2280,99.19,514.19
19980629,-1,460,,460,450,450,1488,107.55,557.55
19980630,-1,420,,430,420,425,1681,101.58,526.58
19980701,-1,420,,462,420,462,2091,110.42,572.42
19980702,-1,460,,460,460,460,2795,109.94,569.94
19980703,-1,495,,505,490,505,10276,120.7,625.7
19980706,-1,485,,485,485,485,5493,115.92,600.92
19980707,-1,485,,485,485,485,936,115.92,600.92
19980708,-1,485,,485,485,485,1551,115.92,600.92
19980709,-1,480,,480,480,480,1536,114.72,594.72
19980710,1,432,,432,432,432,739,95.47,336.53
19980713,-1,455,,465,455,465,1098,111.14,576.14
19980714,-1,478,,478,478,478,3271,114.24,592.24
19980715,-1,469,,469,469,469,214,112.09,581.09
19980716,1,445,,460,445,460,269,101.66,358.34
19980717,1,460,,460,440,440,678,97.24,342.76
19980720,1,450,,450,450,450,146,99.45,350.55
19980721,1,450,,450,450,450,723,99.45,350.55
19980722,1,440,,440,440,440,2548,97.24,342.76
19980723,-1,440,,453,435,453,856,108.27,561.27
19980724,1,435,,435,435,435,2054,96.14,338.87
19980727,1,440,,440,435,435,188,96.14,338.87
19980728,-1,450,,450,447,447,3512,106.83,553.83
19980729,1,435,,435,435,435,417,96.14,338.87
19980730,1,425,,435,425,425,753,93.93,331.08
19980731,1,420,,425,420,425,773,93.93,331.08
19980803,1,410,,410,410,410,1206,90.61,319.39
19980804,1,405,,405,404.5,405,1184,89.51,315.5
19980805,1,410,,410,400,410,953,90.61,319.39
19980806,1,410,,410,410,410,1767,90.61,319.39
19980807,1,410,,410,410,410,648,90.61,319.39
19980810,1,410,,410,410,410,415,90.61,319.39
19980811,1,415,,415,415,415,1871,91.72,323.29
19980812,-1,425,,425,425,425,303,101.58,526.58
19980813,1,408,,415,408,415,5307,91.72,323.29
19980814,-1,448.5,,450,448.5,450,564,107.55,557.55
19980817,-1,410,,430,410,430,1831,102.77,532.77
19980818,-1,430,,430,430,430,2713,102.77,532.77
19980819,-1,460,,460,460,460,683,109.94,569.94
19980820,-1,460,,460,460,460,2119,109.94,569.94
19980821,1,430,,430,425,425,1752,93.93,331.08
19980824,1,425,,425,425,425,446,93.93,331.08
19980825,-1,437,,437,437,437,1460,104.44,541.44
19980826,1,420,,420,420,420,2701,92.82,327.18
19980827,1,400,,400,380,380,1881,83.98,296.02
19980828,1,360,,360,360,360,1026,79.56,280.44
19980831,1,360,,370,360,370,1319,81.77,288.23
19980901,1,360,,360,360,360,2118,79.56,280.44
19980902,-1,396,,435,396,435,641,103.97,538.97
19980903,-1,397.5,,420,397.5,405,4220,96.8,501.8
19980904,-1,437,,437,437,437,2679,104.44,541.44
19980907,-1,441,,450,441,450,309,107.55,557.55
19980908,-1,470,,470,434,468,726,111.85,579.85
19980909,-1,468,,468,468,468,281,111.85,579.85
19980910,-1,430,,440,430,440,104,105.16,545.16
19980911,-1,425,,450,425,450,373,107.55,557.55
19980914,-1,449,,449,449,449,168,107.31,556.31
19980915,1,431,,440,431,437,220,96.58,340.42
19980916,-1,448,,448,445,445,586,106.36,551.36
19980917,-1,455,,460,445,445,1576,106.36,551.36
19980918,-1,470,,500,470,495,1683,118.31,613.31
19980921,-1,500,,525,500,520,7085,124.28,644.28
19980922,-1,530,,540,530,540,7826,129.06,669.06
19980923,-1,545,,545,545,545,5085,130.26,675.26
19980924,-1,501,,501,485,492,2975,117.59,609.59
19980925,1,490,,492,488,488,1201,107.85,380.15
19980928,-1,500,,525,500,500,3191,119.5,619.5
19980929,1,470,,482,470,480.5,598,106.19,374.31
19980930,1,450,,450,450,450,557,99.45,350.55
19981001,1,445,,445,440,440,8537,97.24,342.76
19981002,1,430,,435,430,435,1589,96.14,338.87
19981005,1,440,,448,430,440,2496,97.24,342.76
19981006,1,420,,430,420,430,6067,95.03,334.97
19981007,1,440,,440,440,440,3194,97.24,342.76
19981008,1,440,,440,431,432,4513,95.47,336.53
19981009,1,450,,450,441,444,1526,98.12,345.88
19981012,-1,465,,465,465,465,3993,111.14,576.14
19981013,-1,481.5,,481.5,480,480,1818,114.72,594.72
19981014,-1,480,,480,480,480,5605,114.72,594.72
19981015,-1,500,,500,500,500,11105,119.5,619.5
19981016,-1,505,,505,500,503,1242,120.22,623.22
19981019,-1,500,,500,495,500,938,119.5,619.5
19981020,-1,500,,500,500,500,2773,119.5,619.5
19981021,-1,500,,500,500,500,3523,119.5,619.5
19981022,1,465,,480,465,470,448,103.87,366.13
19981023,-1,465,,510,465,510,233,121.89,631.89
19981026,1,450,,469,450,465,1492,102.77,362.24
19981027,1,450,,460,450,455,2512,100.56,354.45
19981028,1,460,,460,460,460,1771,101.66,358.34
19981029,1,465,,476,465,465,5659,102.77,362.24
19981030,1,469,,470,467,467,7371,103.21,363.79
19981102,-1,469,,475,465,475,2416,113.53,588.53
19981103,1,461,,461,459,460,2221,101.66,358.34
19981104,1,450,,460,450,460,3788,101.66,358.34
19981105,1,450,,450,441,445,1230,98.35,346.66
19981106,-1,472,,490,469,474,2071,113.29,587.29
19981109,-1,470,,470,470,470,169,112.33,582.33
19981110,1,451,,456,451,456,415,100.78,355.22
19981112,1,451,,469,451,460,727,101.66,358.34
19981113,1,452,,461,452,460,541,101.66,358.34
19981116,1,455,,465,442,442,632,97.68,344.32
19981117,1,455,,455,455,455,2553,100.56,354.45
19981118,1,455,,465,455,455,3427,100.56,354.45
19981119,1,455,,462,450,455,977,100.56,354.45
19981120,1,450,,451,445,445,1507,98.35,346.66
19981123,1,452,,452,452,452,1012,99.89,352.11
19981124,-1,460,,460,450,455,544,108.75,563.75
19981125,-1,460,,460,460,460,565,109.94,569.94
19981126,-1,464.5,,464.5,460,460,737,109.94,569.94
19981127,1,452,,452,452,452,57,99.89,352.11
19981130,1,442,,442,436,442,2574,97.68,344.32
