<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<SIGNAL>,<FACTOR>,<FEE>,<FINALPRICE>
19930824,88.5,88.5,88.5,88.5,16418,-1,proponowana akcja kupna,32.35,120.85
19930826,97,97,97,97,55241,-1,proponowana akcja kupna,35.45,132.45
19930830,87.5,87.5,87.5,87.5,31017,-1,proponowana akcja kupna,31.98,119.48
19930831,79,79,79,79,45684,1,proponowana akcja sprzedaży,23.48,55.52
19930902,86.5,86.5,86.5,86.5,23472,-1,proponowana akcja kupna,31.62,118.12
19930906,95,95,95,95,34193,-1,proponowana akcja kupna,34.72,129.72
19930907,85.5,85.5,85.5,85.5,42679,-1,proponowana akcja kupna,31.25,116.75
19930909,83,83,83,83,31892,1,proponowana akcja sprzedaży,24.67,58.33
19930913,84.5,84.5,84.5,84.5,28704,-1,proponowana akcja kupna,30.88,115.38
19930914,87,87,87,87,9646,-1,proponowana akcja kupna,31.8,118.8
19930916,89.5,89.5,89.5,89.5,15061,-1,proponowana akcja kupna,32.71,122.21
19930920,89.5,89.5,89.5,89.5,22071,-1,proponowana akcja kupna,32.71,122.21
19930921,86.5,86.5,86.5,86.5,16707,-1,proponowana akcja kupna,31.62,118.12
19930923,84.5,84.5,84.5,84.5,19490,1,proponowana akcja sprzedaży,25.12,59.38
19930927,88.5,88.5,88.5,88.5,28164,-1,proponowana akcja kupna,32.35,120.85
19930928,92.5,92.5,92.5,92.5,16670,-1,proponowana akcja kupna,33.81,126.31
19930930,90,90,90,90,15394,-1,proponowana akcja kupna,32.9,122.9
19931004,90,90,90,90,21516,-1,proponowana akcja kupna,32.9,122.9
19931005,95,95,95,95,37612,-1,proponowana akcja kupna,34.72,129.72
19931007,100,100,100,100,38986,-1,proponowana akcja kupna,36.55,136.55
19931011,110,110,110,110,37587,-1,proponowana akcja kupna,40.21,150.21
19931012,120,120,120,120,33165,-1,proponowana akcja kupna,43.86,163.86
19931014,119,119,119,119,19866,-1,proponowana akcja kupna,43.49,162.49
19931018,114.5,114.5,114.5,114.5,24828,-1,proponowana akcja kupna,41.85,156.35
19931019,112.5,112.5,112.5,112.5,16939,-1,proponowana akcja kupna,41.12,153.62
19931021,110,110,110,110,33617,-1,proponowana akcja kupna,40.21,150.21
19931026,106,106,106,106,9875,1,proponowana akcja sprzedaży,31.51,74.49
19931028,110,110,110,110,21285,-1,proponowana akcja kupna,40.21,150.21
19931102,115,115,115,115,28209,-1,proponowana akcja kupna,42.03,157.03
19931104,120,120,120,120,35286,-1,proponowana akcja kupna,43.86,163.86
19931108,114.5,114.5,114.5,114.5,14983,-1,proponowana akcja kupna,41.85,156.35
19931109,112,112,112,112,8295,-1,proponowana akcja kupna,40.94,152.94
19931110,112,112,112,112,9186,-1,proponowana akcja kupna,40.94,152.94
19931115,115,115,115,115,22783,-1,proponowana akcja kupna,42.03,157.03
19931116,118,118,118,118,9662,-1,proponowana akcja kupna,43.13,161.13
19931118,110,110,110,110,12637,1,proponowana akcja sprzedaży,32.7,77.3
19931122,112,112,112,112,11882,1,proponowana akcja sprzedaży,33.29,78.71
19931123,117,117,117,117,9699,-1,proponowana akcja kupna,42.76,159.76
19931125,118,118,118,118,18777,-1,proponowana akcja kupna,43.13,161.13
19931129,119.5,119.5,119.5,119.5,14502,-1,proponowana akcja kupna,43.68,163.18
19931130,120,120,120,120,10271,-1,proponowana akcja kupna,43.86,163.86
19931202,132,132,132,132,24681,-1,proponowana akcja kupna,48.25,180.25
19931206,139,139,139,139,13050,-1,proponowana akcja kupna,50.8,189.8
19931207,140,140,140,140,19970,-1,proponowana akcja kupna,51.17,191.17
19931209,140,140,140,140,22810,-1,proponowana akcja kupna,51.17,191.17
19931213,154,154,154,154,14182,-1,proponowana akcja kupna,56.29,210.29
19931214,157,157,157,157,16267,-1,proponowana akcja kupna,57.38,214.38
19931216,172.5,172.5,172.5,172.5,11965,-1,proponowana akcja kupna,63.05,235.55
19931220,175,175,175,175,17069,-1,proponowana akcja kupna,63.96,238.96
19931221,180,180,180,180,16946,-1,proponowana akcja kupna,65.79,245.79
19931223,198,198,198,198,15980,-1,proponowana akcja kupna,72.37,270.37
19931227,210,210,210,210,17005,-1,proponowana akcja kupna,76.76,286.76
